GEOID,variable,Chinese,Korean,Spanish,Tagalog,Vietnamese
06001405200,C16001_024,NA,NA,NA,NA,11
06001405200,C16001_029,NA,NA,NA,0,NA
06001405301,C16001_005,NA,NA,157,NA,NA
06001405301,C16001_020,NA,0,NA,NA,NA
06001405301,C16001_023,109,NA,NA,NA,NA
06001405301,C16001_024,NA,NA,NA,NA,16
06001405301,C16001_029,NA,NA,NA,21,NA
06001405302,C16001_005,NA,NA,183,NA,NA
06001405302,C16001_020,NA,21,NA,NA,NA
06001405302,C16001_023,345,NA,NA,NA,NA
06001405302,C16001_024,NA,NA,NA,NA,306
06001405302,C16001_029,NA,NA,NA,0,NA
06001405401,C16001_005,NA,NA,461,NA,NA
06001405401,C16001_020,NA,0,NA,NA,NA
06001405401,C16001_023,758,NA,NA,NA,NA
06001405401,C16001_024,NA,NA,NA,NA,303
06001405401,C16001_029,NA,NA,NA,0,NA
06001405402,C16001_005,NA,NA,196,NA,NA
06001405402,C16001_020,NA,44,NA,NA,NA
06001405402,C16001_023,411,NA,NA,NA,NA
06001405402,C16001_024,NA,NA,NA,NA,446
06001405402,C16001_029,NA,NA,NA,0,NA
06001405500,C16001_005,NA,NA,147,NA,NA
06001405500,C16001_020,NA,0,NA,NA,NA
06001405500,C16001_023,509,NA,NA,NA,NA
06001405500,C16001_024,NA,NA,NA,NA,433
06001405500,C16001_029,NA,NA,NA,15,NA
06001405600,C16001_005,NA,NA,86,NA,NA
06001405600,C16001_020,NA,0,NA,NA,NA
06001405600,C16001_023,249,NA,NA,NA,NA
06001405600,C16001_024,NA,NA,NA,NA,87
06001405600,C16001_029,NA,NA,NA,11,NA
06001405700,C16001_005,NA,NA,480,NA,NA
06001405700,C16001_020,NA,0,NA,NA,NA
06001405700,C16001_023,280,NA,NA,NA,NA
06001405700,C16001_024,NA,NA,NA,NA,67
06001405700,C16001_029,NA,NA,NA,31,NA
06001405800,C16001_005,NA,NA,366,NA,NA
06001405800,C16001_020,NA,0,NA,NA,NA
06001405800,C16001_023,525,NA,NA,NA,NA
06001405800,C16001_024,NA,NA,NA,NA,524
06001405800,C16001_029,NA,NA,NA,71,NA
06001405901,C16001_005,NA,NA,724,NA,NA
06001405901,C16001_020,NA,0,NA,NA,NA
06001405901,C16001_023,432,NA,NA,NA,NA
06001405901,C16001_024,NA,NA,NA,NA,477
06001405901,C16001_029,NA,NA,NA,68,NA
06001405902,C16001_005,NA,NA,344,NA,NA
06001405902,C16001_020,NA,0,NA,NA,NA
06001405902,C16001_023,446,NA,NA,NA,NA
06001405902,C16001_024,NA,NA,NA,NA,431
06001405902,C16001_029,NA,NA,NA,27,NA
06001406000,C16001_005,NA,NA,151,NA,NA
06001406000,C16001_020,NA,0,NA,NA,NA
06001406000,C16001_023,874,NA,NA,NA,NA
06001406000,C16001_024,NA,NA,NA,NA,285
06001406000,C16001_029,NA,NA,NA,0,NA
06001406100,C16001_005,NA,NA,1060,NA,NA
06001406100,C16001_020,NA,0,NA,NA,NA
06001406100,C16001_023,64,NA,NA,NA,NA
06001406100,C16001_024,NA,NA,NA,NA,170
06001406100,C16001_029,NA,NA,NA,7,NA
06001406201,C16001_005,NA,NA,556,NA,NA
06001406201,C16001_020,NA,0,NA,NA,NA
06001406201,C16001_023,234,NA,NA,NA,NA
06001406201,C16001_024,NA,NA,NA,NA,83
06001406201,C16001_029,NA,NA,NA,87,NA
06001406202,C16001_005,NA,NA,1638,NA,NA
06001406202,C16001_020,NA,0,NA,NA,NA
06001406202,C16001_023,97,NA,NA,NA,NA
06001406202,C16001_024,NA,NA,NA,NA,82
06001406202,C16001_029,NA,NA,NA,49,NA
06001406300,C16001_005,NA,NA,503,NA,NA
06001406300,C16001_020,NA,0,NA,NA,NA
06001406300,C16001_023,514,NA,NA,NA,NA
06001406300,C16001_024,NA,NA,NA,NA,263
06001406300,C16001_029,NA,NA,NA,43,NA
06001406400,C16001_005,NA,NA,181,NA,NA
06001406400,C16001_020,NA,2,NA,NA,NA
06001406400,C16001_023,94,NA,NA,NA,NA
06001406400,C16001_024,NA,NA,NA,NA,74
06001406400,C16001_029,NA,NA,NA,41,NA
06001406500,C16001_005,NA,NA,1388,NA,NA
06001406500,C16001_020,NA,0,NA,NA,NA
06001406500,C16001_023,411,NA,NA,NA,NA
06001406500,C16001_024,NA,NA,NA,NA,179
06001406500,C16001_029,NA,NA,NA,103,NA
06001406601,C16001_005,NA,NA,443,NA,NA
06001406601,C16001_020,NA,0,NA,NA,NA
06001406601,C16001_023,377,NA,NA,NA,NA
06001406601,C16001_024,NA,NA,NA,NA,323
06001406601,C16001_029,NA,NA,NA,24,NA
06001406602,C16001_005,NA,NA,236,NA,NA
06001406602,C16001_020,NA,0,NA,NA,NA
06001406602,C16001_023,213,NA,NA,NA,NA
06001406602,C16001_024,NA,NA,NA,NA,148
06001406602,C16001_029,NA,NA,NA,66,NA
06001406700,C16001_005,NA,NA,15,NA,NA
06001406700,C16001_020,NA,0,NA,NA,NA
06001406700,C16001_023,319,NA,NA,NA,NA
06001406700,C16001_024,NA,NA,NA,NA,69
06001406700,C16001_029,NA,NA,NA,13,NA
06001406800,C16001_005,NA,NA,78,NA,NA
06001406800,C16001_020,NA,0,NA,NA,NA
06001406800,C16001_023,298,NA,NA,NA,NA
06001406800,C16001_024,NA,NA,NA,NA,31
06001406800,C16001_029,NA,NA,NA,0,NA
06001406900,C16001_005,NA,NA,178,NA,NA
06001406900,C16001_020,NA,0,NA,NA,NA
06001406900,C16001_023,251,NA,NA,NA,NA
06001406900,C16001_024,NA,NA,NA,NA,46
06001406900,C16001_029,NA,NA,NA,0,NA
06001407000,C16001_005,NA,NA,843,NA,NA
06001407000,C16001_020,NA,0,NA,NA,NA
06001407000,C16001_023,879,NA,NA,NA,NA
06001407000,C16001_024,NA,NA,NA,NA,107
06001407000,C16001_029,NA,NA,NA,0,NA
06001407101,C16001_005,NA,NA,647,NA,NA
06001407101,C16001_020,NA,0,NA,NA,NA
06001407101,C16001_023,409,NA,NA,NA,NA
06001407101,C16001_024,NA,NA,NA,NA,21
06001407101,C16001_029,NA,NA,NA,16,NA
06001407102,C16001_005,NA,NA,978,NA,NA
06001407102,C16001_020,NA,0,NA,NA,NA
06001407102,C16001_023,209,NA,NA,NA,NA
06001407102,C16001_024,NA,NA,NA,NA,161
06001407102,C16001_029,NA,NA,NA,0,NA
06001407200,C16001_005,NA,NA,2396,NA,NA
06001407200,C16001_020,NA,15,NA,NA,NA
06001407200,C16001_023,287,NA,NA,NA,NA
06001407200,C16001_024,NA,NA,NA,NA,158
06001407200,C16001_029,NA,NA,NA,74,NA
06001407300,C16001_005,NA,NA,730,NA,NA
06001407300,C16001_020,NA,0,NA,NA,NA
06001407300,C16001_023,63,NA,NA,NA,NA
06001407300,C16001_024,NA,NA,NA,NA,136
06001407300,C16001_029,NA,NA,NA,0,NA
06001407400,C16001_005,NA,NA,1571,NA,NA
06001407400,C16001_020,NA,0,NA,NA,NA
06001407400,C16001_023,21,NA,NA,NA,NA
06001407400,C16001_024,NA,NA,NA,NA,104
06001407400,C16001_029,NA,NA,NA,15,NA
06001407500,C16001_005,NA,NA,1151,NA,NA
06001407500,C16001_020,NA,0,NA,NA,NA
06001407500,C16001_023,5,NA,NA,NA,NA
06001407500,C16001_024,NA,NA,NA,NA,63
06001407500,C16001_029,NA,NA,NA,0,NA
06001407600,C16001_005,NA,NA,711,NA,NA
06001407600,C16001_020,NA,0,NA,NA,NA
06001407600,C16001_023,368,NA,NA,NA,NA
06001407600,C16001_024,NA,NA,NA,NA,0
06001407600,C16001_029,NA,NA,NA,0,NA
06001407700,C16001_005,NA,NA,32,NA,NA
06001407700,C16001_020,NA,0,NA,NA,NA
06001407700,C16001_023,0,NA,NA,NA,NA
06001407700,C16001_024,NA,NA,NA,NA,48
06001407700,C16001_029,NA,NA,NA,0,NA
06001407800,C16001_005,NA,NA,42,NA,NA
06001407800,C16001_020,NA,0,NA,NA,NA
06001407800,C16001_023,66,NA,NA,NA,NA
06001407800,C16001_024,NA,NA,NA,NA,30
06001407800,C16001_029,NA,NA,NA,0,NA
06001407900,C16001_005,NA,NA,234,NA,NA
06001407900,C16001_020,NA,16,NA,NA,NA
06001407900,C16001_023,76,NA,NA,NA,NA
06001407900,C16001_024,NA,NA,NA,NA,0
06001407900,C16001_029,NA,NA,NA,21,NA
06001408000,C16001_005,NA,NA,6,NA,NA
06001408000,C16001_020,NA,0,NA,NA,NA
06001408000,C16001_023,36,NA,NA,NA,NA
06001408000,C16001_024,NA,NA,NA,NA,21
06001408000,C16001_029,NA,NA,NA,10,NA
06001408100,C16001_005,NA,NA,55,NA,NA
06001408100,C16001_020,NA,34,NA,NA,NA
06001408100,C16001_023,221,NA,NA,NA,NA
06001408100,C16001_024,NA,NA,NA,NA,218
06001408100,C16001_029,NA,NA,NA,70,NA
06001408200,C16001_005,NA,NA,185,NA,NA
06001408200,C16001_020,NA,0,NA,NA,NA
06001408200,C16001_023,8,NA,NA,NA,NA
06001408200,C16001_024,NA,NA,NA,NA,28
06001408200,C16001_029,NA,NA,NA,0,NA
06001408300,C16001_005,NA,NA,255,NA,NA
06001408300,C16001_020,NA,0,NA,NA,NA
06001408300,C16001_023,168,NA,NA,NA,NA
06001408300,C16001_024,NA,NA,NA,NA,58
06001408300,C16001_029,NA,NA,NA,0,NA
06001408400,C16001_005,NA,NA,713,NA,NA
06001408400,C16001_020,NA,0,NA,NA,NA
06001408400,C16001_023,0,NA,NA,NA,NA
06001408400,C16001_024,NA,NA,NA,NA,0
06001408400,C16001_029,NA,NA,NA,0,NA
06001408500,C16001_005,NA,NA,1243,NA,NA
06001408500,C16001_020,NA,0,NA,NA,NA
06001408500,C16001_023,43,NA,NA,NA,NA
06001408500,C16001_024,NA,NA,NA,NA,28
06001408500,C16001_029,NA,NA,NA,0,NA
06001408600,C16001_005,NA,NA,1510,NA,NA
06001408600,C16001_020,NA,0,NA,NA,NA
06001408600,C16001_023,26,NA,NA,NA,NA
06001408600,C16001_024,NA,NA,NA,NA,0
06001408600,C16001_029,NA,NA,NA,0,NA
06001408700,C16001_005,NA,NA,1609,NA,NA
06001408700,C16001_020,NA,3,NA,NA,NA
06001408700,C16001_023,0,NA,NA,NA,NA
06001408700,C16001_024,NA,NA,NA,NA,71
06001408700,C16001_029,NA,NA,NA,0,NA
06001408800,C16001_005,NA,NA,1627,NA,NA
06001408800,C16001_020,NA,0,NA,NA,NA
06001408800,C16001_023,78,NA,NA,NA,NA
06001408800,C16001_024,NA,NA,NA,NA,45
06001408800,C16001_029,NA,NA,NA,0,NA
06001408900,C16001_005,NA,NA,818,NA,NA
06001408900,C16001_020,NA,0,NA,NA,NA
06001408900,C16001_023,10,NA,NA,NA,NA
06001408900,C16001_024,NA,NA,NA,NA,46
06001408900,C16001_029,NA,NA,NA,0,NA
06001409000,C16001_005,NA,NA,869,NA,NA
06001409000,C16001_020,NA,0,NA,NA,NA
06001409000,C16001_023,45,NA,NA,NA,NA
