pricing_module,message_module,time_checked,algorithm_mode,facility_id,interval_starting,hour,minute,mday,wday
,OPEN TO ALL,2018-05-02T02:12:53Z,,FSE,1525227000,19,12,1,3
,OPEN TO ALL,2018-05-02T02:32:52Z,,CLW,1525228200,19,32,1,3
,OPEN TO ALL,2018-05-02T02:47:53Z,,CLW,1525229100,19,47,1,3
,OPEN TO ALL,2018-05-02T03:07:53Z,,CLW,1525230300,20,7,1,3
,OPEN TO ALL,2018-05-02T03:57:52Z,,FSE,1525233300,20,57,1,3
,OPEN TO ALL,2018-05-02T04:12:53Z,,CLW,1525234200,21,12,1,3
,OPEN TO ALL,2018-05-02T04:12:53Z,,FSE,1525234200,21,12,1,3
,OPEN TO ALL,2018-05-02T04:17:52Z,,FSE,1525234500,21,17,1,3
,OPEN TO ALL,2018-05-02T04:42:53Z,,CLW,1525236000,21,42,1,3
,OPEN TO ALL,2018-05-02T04:47:52Z,,CLW,1525236300,21,47,1,3
,OPEN TO ALL,2018-05-02T05:02:53Z,,CLW,1525237200,22,2,1,3
,OPEN TO ALL,2018-05-02T05:17:52Z,,CLW,1525238100,22,17,1,3
,OPEN TO ALL,2018-05-02T05:17:52Z,,FSE,1525238100,22,17,1,3
,OPEN TO ALL,2018-05-02T05:52:53Z,,CLW,1525240200,22,52,1,3
,OPEN TO ALL,2018-05-02T06:02:53Z,,CLW,1525240800,23,2,1,3
,OPEN TO ALL,2018-05-02T06:22:53Z,,FSE,1525242000,23,22,1,3
,OPEN TO ALL,2018-05-02T06:32:53Z,,FSE,1525242600,23,32,1,3
,OPEN TO ALL,2018-05-02T06:37:53Z,,CLW,1525242900,23,37,1,3
,OPEN TO ALL,2018-05-02T06:37:53Z,,FSE,1525242900,23,37,1,3
,OPEN TO ALL,2018-05-02T07:17:53Z,,FSE,1525245300,0,17,2,4
,OPEN TO ALL,2018-05-02T07:22:53Z,,CLW,1525245600,0,22,2,4
,OPEN TO ALL,2018-05-02T07:27:52Z,,CLW,1525245900,0,27,2,4
,OPEN TO ALL,2018-05-02T08:12:53Z,,FSE,1525248600,1,12,2,4
,OPEN TO ALL,2018-05-02T08:22:53Z,,FSE,1525249200,1,22,2,4
,OPEN TO ALL,2018-05-02T08:27:53Z,,FSE,1525249500,1,27,2,4
,OPEN TO ALL,2018-05-02T08:32:53Z,,CLW,1525249800,1,32,2,4
,OPEN TO ALL,2018-05-02T09:07:53Z,,FSE,1525251900,2,7,2,4
3.30,HOV 2+ NO TOLL,2018-05-04T23:57:53Z,EL Speed,FSE,1525478100,16,57,4,6
3.70,HOV 2+ NO TOLL,2018-05-05T00:07:53Z,EL Speed,FSE,1525478700,17,7,4,6
1.20,HOV 2+ NO TOLL,2018-05-05T00:22:52Z,EL Speed,CLW,1525479600,17,22,4,6
3.30,HOV 2+ NO TOLL,2018-05-05T00:32:53Z,EL Speed,FSE,1525480200,17,32,4,6
3.30,HOV 2+ NO TOLL,2018-05-05T00:37:52Z,EL Speed,FSE,1525480500,17,37,4,6
1.00,HOV 2+ NO TOLL,2018-05-05T01:07:53Z,EL Speed,CLW,1525482300,18,7,4,6
2.80,HOV 2+ NO TOLL,2018-05-05T01:17:53Z,EL Speed,FSE,1525482900,18,17,4,6
,OPEN TO ALL,2018-05-05T02:32:53Z,,CLW,1525487400,19,32,4,6
,OPEN TO ALL,2018-05-05T02:32:53Z,,FSE,1525487400,19,32,4,6
,OPEN TO ALL,2018-05-05T02:42:53Z,,CLW,1525488000,19,42,4,6
,OPEN TO ALL,2018-05-05T02:47:52Z,,FSE,1525488300,19,47,4,6
,OPEN TO ALL,2018-05-05T02:52:53Z,,CLW,1525488600,19,52,4,6
,OPEN TO ALL,2018-05-05T02:57:53Z,,CLW,1525488900,19,57,4,6
,OPEN TO ALL,2018-05-05T03:07:52Z,,FSE,1525489500,20,7,4,6
,OPEN TO ALL,2018-05-05T03:27:53Z,,CLW,1525490700,20,27,4,6
,OPEN TO ALL,2018-05-05T03:52:52Z,,FSE,1525492200,20,52,4,6
,OPEN TO ALL,2018-05-05T03:57:53Z,,CLW,1525492500,20,57,4,6
,OPEN TO ALL,2018-05-05T04:02:53Z,,FSE,1525492800,21,2,4,6
,OPEN TO ALL,2018-05-05T04:27:52Z,,FSE,1525494300,21,27,4,6
,OPEN TO ALL,2018-05-05T04:32:53Z,,CLW,1525494600,21,32,4,6
,OPEN TO ALL,2018-05-05T05:27:53Z,,FSE,1525497900,22,27,4,6
,OPEN TO ALL,2018-05-05T05:52:53Z,,CLW,1525499400,22,52,4,6
,OPEN TO ALL,2018-05-05T06:07:53Z,,CLW,1525500300,23,7,4,6
,OPEN TO ALL,2018-05-05T06:17:53Z,,FSE,1525500900,23,17,4,6
,OPEN TO ALL,2018-05-05T06:32:53Z,,FSE,1525501800,23,32,4,6
,OPEN TO ALL,2018-05-05T06:37:53Z,,CLW,1525502100,23,37,4,6
,OPEN TO ALL,2018-05-05T06:42:52Z,,CLW,1525502400,23,42,4,6
,OPEN TO ALL,2018-05-05T06:47:53Z,,CLW,1525502700,23,47,4,6
,OPEN TO ALL,2018-05-05T07:07:53Z,,CLW,1525503900,0,7,5,7
,OPEN TO ALL,2018-05-05T07:27:53Z,,FSE,1525505100,0,27,5,7
,OPEN TO ALL,2018-05-05T07:27:53Z,,CLW,1525505100,0,27,5,7
,OPEN TO ALL,2018-05-05T07:32:53Z,,FSE,1525505400,0,32,5,7
,OPEN TO ALL,2018-05-05T07:57:52Z,,CLW,1525506900,0,57,5,7
,OPEN TO ALL,2018-05-05T08:02:53Z,,CLW,1525507200,1,2,5,7
,OPEN TO ALL,2018-05-05T08:07:53Z,,CLW,1525507500,1,7,5,7
,OPEN TO ALL,2018-05-05T08:22:53Z,,FSE,1525508400,1,22,5,7
,OPEN TO ALL,2018-05-05T08:52:52Z,,FSE,1525510200,1,52,5,7
,OPEN TO ALL,2018-05-05T08:57:53Z,,CLW,1525510500,1,57,5,7
,OPEN TO ALL,2018-05-05T09:02:53Z,,CLW,1525510800,2,2,5,7
,OPEN TO ALL,2018-05-05T09:07:53Z,,FSE,1525511100,2,7,5,7
,OPEN TO ALL,2018-05-05T09:17:53Z,,CLW,1525511700,2,17,5,7
,OPEN TO ALL,2018-05-05T09:22:53Z,,FSE,1525512000,2,22,5,7
,OPEN TO ALL,2018-05-05T09:27:53Z,,FSE,1525512300,2,27,5,7
,OPEN TO ALL,2018-05-05T09:32:53Z,,CLW,1525512600,2,32,5,7
,OPEN TO ALL,2018-05-05T09:42:53Z,,CLW,1525512900,2,42,5,7
,OPEN TO ALL,2018-05-05T09:57:53Z,,FSE,1525514100,2,57,5,7
,OPEN TO ALL,2018-05-05T10:07:52Z,,FSE,1525514700,3,7,5,7
,OPEN TO ALL,2018-05-05T10:07:52Z,,CLW,1525514700,3,7,5,7
,OPEN TO ALL,2018-05-05T10:22:53Z,,CLW,1525515600,3,22,5,7
,OPEN TO ALL,2018-05-05T10:27:52Z,,CLW,1525515900,3,27,5,7
,OPEN TO ALL,2018-05-05T10:27:52Z,,FSE,1525515900,3,27,5,7
,OPEN TO ALL,2018-05-05T10:52:54Z,,CLW,1525517400,3,52,5,7
,OPEN TO ALL,2018-05-05T11:02:53Z,,FSE,1525518000,4,2,5,7
,OPEN TO ALL,2018-05-05T11:27:53Z,,FSE,1525519500,4,27,5,7
,OPEN TO ALL,2018-05-05T11:27:53Z,,CLW,1525519500,4,27,5,7
,OPEN TO ALL,2018-05-05T11:37:53Z,,FSE,1525520100,4,37,5,7
,OPEN TO ALL,2018-05-05T11:47:53Z,,FSE,1525520700,4,47,5,7
,OPEN TO ALL,2018-05-05T11:57:53Z,,CLW,1525521300,4,57,5,7
,OPEN TO ALL,2018-05-05T12:27:53Z,,CLW,1525523100,5,27,5,7
,OPEN TO ALL,2018-05-05T12:32:53Z,,CLW,1525523400,5,32,5,7
,OPEN TO ALL,2018-05-05T12:42:53Z,,CLW,1525524000,5,42,5,7
,OPEN TO ALL,2018-05-05T12:47:52Z,,FSE,1525524300,5,47,5,7
,OPEN TO ALL,2018-05-05T13:02:53Z,,FSE,1525525200,6,2,5,7
,OPEN TO ALL,2018-05-05T13:07:53Z,,CLW,1525525500,6,7,5,7
,OPEN TO ALL,2018-05-05T13:17:52Z,,FSE,1525526100,6,17,5,7
,OPEN TO ALL,2018-05-05T13:42:53Z,,CLW,1525527600,6,42,5,7
,OPEN TO ALL,2018-05-05T13:47:53Z,,FSE,1525527900,6,47,5,7
,OPEN TO ALL,2018-05-05T13:52:53Z,,FSE,1525528200,6,52,5,7
,OPEN TO ALL,2018-05-05T13:57:52Z,,CLW,1525528500,6,57,5,7
,OPEN TO ALL,2018-05-05T14:32:52Z,,FSE,1525530600,7,32,5,7
,OPEN TO ALL,2018-05-05T14:37:53Z,,CLW,1525530900,7,37,5,7
,OPEN TO ALL,2018-05-05T14:42:53Z,,CLW,1525531200,7,42,5,7
,OPEN TO ALL,2018-05-05T14:52:53Z,,CLW,1525531800,7,52,5,7
,OPEN TO ALL,2018-05-05T15:02:53Z,,FSE,1525532400,8,2,5,7
,OPEN TO ALL,2018-05-05T15:07:53Z,,CLW,1525532700,8,7,5,7
,OPEN TO ALL,2018-05-05T15:12:53Z,,FSE,1525533000,8,12,5,7
,OPEN TO ALL,2018-05-05T15:17:53Z,,FSE,1525533300,8,17,5,7
,OPEN TO ALL,2018-05-05T15:27:52Z,,CLW,1525533900,8,27,5,7
,OPEN TO ALL,2018-05-05T16:02:53Z,,FSE,1525536000,9,2,5,7
,OPEN TO ALL,2018-05-05T16:07:53Z,,CLW,1525536300,9,7,5,7
,OPEN TO ALL,2018-05-05T16:22:52Z,,FSE,1525537200,9,22,5,7
,OPEN TO ALL,2018-05-05T16:47:53Z,,FSE,1525538700,9,47,5,7
,OPEN TO ALL,2018-05-05T16:57:53Z,,FSE,1525539300,9,57,5,7
,OPEN TO ALL,2018-05-05T17:17:53Z,,FSE,1525540500,10,17,5,7
,OPEN TO ALL,2018-05-05T17:47:52Z,,CLW,1525542300,10,47,5,7
,OPEN TO ALL,2018-05-05T18:02:53Z,,CLW,1525543200,11,2,5,7
,OPEN TO ALL,2018-05-05T18:07:52Z,,FSE,1525543500,11,7,5,7
,OPEN TO ALL,2018-05-05T18:57:53Z,,CLW,1525546500,11,57,5,7
,OPEN TO ALL,2018-05-05T19:17:53Z,,FSE,1525547700,12,17,5,7
,OPEN TO ALL,2018-05-05T19:22:53Z,,FSE,1525548000,12,22,5,7
,OPEN TO ALL,2018-05-05T19:42:53Z,,CLW,1525549200,12,42,5,7
,OPEN TO ALL,2018-05-05T19:42:53Z,,FSE,1525549200,12,42,5,7
,OPEN TO ALL,2018-05-05T20:27:52Z,,FSE,1525551900,13,27,5,7
,OPEN TO ALL,2018-05-05T20:27:52Z,,CLW,1525551900,13,27,5,7
,OPEN TO ALL,2018-05-05T20:42:53Z,,FSE,1525552800,13,42,5,7
,OPEN TO ALL,2018-05-05T21:07:53Z,,FSE,1525554300,14,7,5,7
,OPEN TO ALL,2018-05-05T21:17:52Z,,FSE,1525554900,14,17,5,7
,OPEN TO ALL,2018-05-05T21:32:53Z,,CLW,1525555800,14,32,5,7
,OPEN TO ALL,2018-05-05T21:47:53Z,,FSE,1525556700,14,47,5,7
,OPEN TO ALL,2018-05-05T21:57:52Z,,FSE,1525557300,14,57,5,7
,OPEN TO ALL,2018-05-05T22:02:52Z,,FSE,1525557600,15,2,5,7
,OPEN TO ALL,2018-05-05T22:12:52Z,,FSE,1525558200,15,12,5,7
,OPEN TO ALL,2018-05-05T22:17:53Z,,CLW,1525558500,15,17,5,7
,OPEN TO ALL,2018-05-05T22:32:53Z,,CLW,1525559400,15,32,5,7
,OPEN TO ALL,2018-05-05T22:37:53Z,,FSE,1525559700,15,37,5,7
,OPEN TO ALL,2018-05-05T22:47:52Z,,FSE,1525560300,15,47,5,7
,OPEN TO ALL,2018-05-05T22:52:53Z,,CLW,1525560600,15,52,5,7
,OPEN TO ALL,2018-05-05T22:57:54Z,,CLW,1525560900,15,57,5,7
,OPEN TO ALL,2018-05-05T23:17:53Z,,CLW,1525562100,16,17,5,7
,OPEN TO ALL,2018-05-05T23:27:53Z,,CLW,1525562700,16,27,5,7
,OPEN TO ALL,2018-05-05T23:37:53Z,,CLW,1525563300,16,37,5,7
,OPEN TO ALL,2018-05-05T23:37:53Z,,FSE,1525563300,16,37,5,7
,OPEN TO ALL,2018-05-05T23:47:52Z,,FSE,1525563900,16,47,5,7
,OPEN TO ALL,2018-05-05T23:52:53Z,,CLW,1525564200,16,52,5,7
,OPEN TO ALL,2018-05-06T00:27:52Z,,CLW,1525566300,17,27,5,7
,OPEN TO ALL,2018-05-06T00:57:52Z,,CLW,1525568100,17,57,5,7
,OPEN TO ALL,2018-05-06T01:27:53Z,,CLW,1525569900,18,27,5,7
,OPEN TO ALL,2018-05-06T01:32:53Z,,FSE,1525570200,18,32,5,7
,OPEN TO ALL,2018-05-06T01:37:53Z,,FSE,1525570500,18,37,5,7
,OPEN TO ALL,2018-05-06T01:52:53Z,,FSE,1525571400,18,52,5,7
,OPEN TO ALL,2018-05-06T01:52:53Z,,CLW,1525571400,18,52,5,7
,OPEN TO ALL,2018-05-06T02:37:53Z,,FSE,1525574100,19,37,5,7
,OPEN TO ALL,2018-05-02T10:07:53Z,,FSE,1525255500,3,7,2,4
,OPEN TO ALL,2018-05-02T10:52:53Z,,CLW,1525258200,3,52,2,4
,OPEN TO ALL,2018-05-02T11:07:53Z,,CLW,1525259100,4,7,2,4
,OPEN TO ALL,2018-05-02T11:07:53Z,,FSE,1525259100,4,7,2,4
,OPEN TO ALL,2018-05-02T11:17:53Z,,FSE,1525259700,4,17,2,4
,OPEN TO ALL,2018-05-02T11:27:53Z,,CLW,1525260300,4,27,2,4
,OPEN TO ALL,2018-05-02T11:27:53Z,,FSE,1525260300,4,27,2,4
,OPEN TO ALL,2018-05-02T11:42:53Z,,CLW,1525261200,4,42,2,4
0.30,HOV 2+ NO TOLL,2018-05-02T12:27:53Z,EL Speed,FSE,1525263900,5,27,2,4
1.50,HOV 2+ NO TOLL,2018-05-02T13:02:53Z,EL Speed,CLW,1525266000,6,2,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T13:07:53Z,EL Speed,FSE,1525266300,6,7,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T13:22:52Z,EL Speed,FSE,1525267200,6,22,2,4
1.50,HOV 2+ NO TOLL,2018-05-02T13:22:52Z,EL Speed,CLW,1525267200,6,22,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T13:42:53Z,EL Speed,FSE,1525268400,6,42,2,4
2.50,HOV 2+ NO TOLL,2018-05-02T13:47:52Z,EL Speed,CLW,1525268700,6,47,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T14:02:53Z,EL Speed,FSE,1525269600,7,2,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T14:12:53Z,EL Speed,FSE,1525270200,7,12,2,4
4.00,HOV 2+ NO TOLL,2018-05-02T14:22:53Z,EL Speed,CLW,1525270800,7,22,2,4
4.90,HOV 2+ NO TOLL,2018-05-02T14:32:53Z,EL Speed,CLW,1525271400,7,32,2,4
5.40,HOV 2+ NO TOLL,2018-05-02T14:42:52Z,EL Speed,CLW,1525272000,7,42,2,4
6.80,HOV 2+ NO TOLL,2018-05-02T15:12:53Z,EL Speed,CLW,1525273800,8,12,2,4
,OPEN TO ALL,2018-05-02T16:07:53Z,,FSE,1525277100,9,7,2,4
,OPEN TO ALL,2018-05-02T16:17:53Z,,FSE,1525277700,9,17,2,4
7.20,HOV 2+ NO TOLL,2018-05-02T16:27:53Z,EL Speed,CLW,1525278300,9,27,2,4
6.40,HOV 2+ NO TOLL,2018-05-02T16:57:53Z,EL Speed,CLW,1525280100,9,57,2,4
,OPEN TO ALL,2018-05-02T17:27:53Z,,FSE,1525281900,10,27,2,4
,OPEN TO ALL,2018-05-02T17:42:53Z,,CLW,1525282800,10,42,2,4
,OPEN TO ALL,2018-05-02T18:02:53Z,,FSE,1525284000,11,2,2,4
,OPEN TO ALL,2018-05-02T18:17:53Z,,FSE,1525284900,11,17,2,4
,OPEN TO ALL,2018-05-02T18:27:53Z,,CLW,1525285500,11,27,2,4
,OPEN TO ALL,2018-05-02T18:52:52Z,,FSE,1525287000,11,52,2,4
,OPEN TO ALL,2018-05-02T18:57:53Z,,FSE,1525287300,11,57,2,4
,OPEN TO ALL,2018-05-02T19:07:53Z,,FSE,1525287900,12,7,2,4
,OPEN TO ALL,2018-05-02T19:17:53Z,,CLW,1525288500,12,17,2,4
,OPEN TO ALL,2018-05-02T19:52:53Z,,FSE,1525290600,12,52,2,4
,OPEN TO ALL,2018-05-02T20:12:53Z,,CLW,1525291800,13,12,2,4
,OPEN TO ALL,2018-05-02T20:42:53Z,,FSE,1525293600,13,42,2,4
,OPEN TO ALL,2018-05-02T21:02:53Z,,CLW,1525294800,14,2,2,4
,OPEN TO ALL,2018-05-02T21:02:53Z,,FSE,1525294800,14,2,2,4
,OPEN TO ALL,2018-05-02T21:52:53Z,,CLW,1525297800,14,52,2,4
1.20,HOV 2+ NO TOLL,2018-05-02T22:07:53Z,EL Speed,FSE,1525298700,15,7,2,4
1.00,HOV 2+ NO TOLL,2018-05-02T22:12:53Z,EL Speed,FSE,1525299000,15,12,2,4
0.50,HOV 2+ NO TOLL,2018-05-02T22:22:53Z,EL Speed,CLW,1525299600,15,22,2,4
2.60,HOV 2+ NO TOLL,2018-05-02T23:12:53Z,EL Speed,FSE,1525302600,16,12,2,4
0.70,HOV 2+ NO TOLL,2018-05-02T23:17:53Z,EL Speed,CLW,1525302900,16,17,2,4
0.70,HOV 2+ NO TOLL,2018-05-02T23:27:53Z,EL Speed,CLW,1525303500,16,27,2,4
2.50,HOV 2+ NO TOLL,2018-05-02T23:32:53Z,EL Speed,FSE,1525303800,16,32,2,4
0.70,HOV 2+ NO TOLL,2018-05-02T23:42:53Z,EL Speed,CLW,1525304400,16,42,2,4
2.80,HOV 2+ NO TOLL,2018-05-02T23:47:52Z,EL Speed,FSE,1525304700,16,47,2,4
4.20,HOV 2+ NO TOLL,2018-05-03T00:02:53Z,GP Speed,FSE,1525305600,17,2,2,4
5.00,HOV 2+ NO TOLL,2018-05-03T00:12:53Z,GP Speed,FSE,1525306200,17,12,2,4
1.10,HOV 2+ NO TOLL,2018-05-03T00:17:53Z,EL Speed,CLW,1525306500,17,17,2,4
5.00,HOV 2+ NO TOLL,2018-05-03T00:17:53Z,GP Speed,FSE,1525306500,17,17,2,4
6.90,HOV 2+ NO TOLL,2018-05-03T00:42:52Z,GP Speed,FSE,1525308000,17,42,2,4
6.60,HOV 2+ NO TOLL,2018-05-03T00:47:53Z,GP Speed,FSE,1525308300,17,47,2,4
1.20,HOV 2+ NO TOLL,2018-05-03T00:52:53Z,EL Speed,CLW,1525308600,17,52,2,4
1.00,HOV 2+ NO TOLL,2018-05-03T01:12:53Z,EL Speed,CLW,1525309800,18,12,2,4
2.50,HOV 2+ NO TOLL,2018-05-03T01:37:53Z,EL Speed,FSE,1525311300,18,37,2,4
1.20,HOV 2+ NO TOLL,2018-05-03T01:42:53Z,EL Speed,CLW,1525311600,18,42,2,4
1.00,HOV 2+ NO TOLL,2018-05-03T01:52:53Z,EL Speed,CLW,1525312200,18,52,2,4
1.00,HOV 2+ NO TOLL,2018-05-03T01:57:52Z,EL Speed,CLW,1525312500,18,57,2,4
,OPEN TO ALL,2018-05-03T02:07:53Z,,CLW,1525313100,19,7,2,4
,OPEN TO ALL,2018-05-03T02:22:53Z,,FSE,1525314000,19,22,2,4
,OPEN TO ALL,2018-05-03T02:32:53Z,,FSE,1525314600,19,32,2,4
,OPEN TO ALL,2018-05-03T02:37:53Z,,FSE,1525314900,19,37,2,4
,OPEN TO ALL,2018-05-03T02:42:53Z,,CLW,1525315200,19,42,2,4
,OPEN TO ALL,2018-05-03T02:47:53Z,,CLW,1525315500,19,47,2,4
,OPEN TO ALL,2018-05-03T02:52:53Z,,CLW,1525315800,19,52,2,4
,OPEN TO ALL,2018-05-03T03:22:53Z,,CLW,1525317600,20,22,2,4
,OPEN TO ALL,2018-05-03T03:42:53Z,,FSE,1525318800,20,42,2,4
,OPEN TO ALL,2018-05-03T03:52:53Z,,FSE,1525319400,20,52,2,4
,OPEN TO ALL,2018-05-03T04:22:53Z,,CLW,1525321200,21,22,2,4
,OPEN TO ALL,2018-05-03T04:42:53Z,,CLW,1525322400,21,42,2,4
,OPEN TO ALL,2018-05-03T04:57:52Z,,FSE,1525323300,21,57,2,4
,OPEN TO ALL,2018-05-03T05:17:53Z,,CLW,1525324500,22,17,2,4
,OPEN TO ALL,2018-05-03T05:57:53Z,,CLW,1525326900,22,57,2,4
,OPEN TO ALL,2018-05-03T06:12:53Z,,CLW,1525327800,23,12,2,4
,OPEN TO ALL,2018-05-03T06:17:53Z,,FSE,1525328100,23,17,2,4
,OPEN TO ALL,2018-05-03T06:37:53Z,,FSE,1525329300,23,37,2,4
,OPEN TO ALL,2018-05-03T06:57:53Z,,FSE,1525330500,23,57,2,4
,OPEN TO ALL,2018-05-03T07:02:53Z,,FSE,1525330800,0,2,3,5
,OPEN TO ALL,2018-05-03T07:12:52Z,,CLW,1525331400,0,12,3,5
,OPEN TO ALL,2018-05-03T07:17:53Z,,FSE,1525331700,0,17,3,5
,OPEN TO ALL,2018-05-03T07:32:52Z,,FSE,1525332600,0,32,3,5
,OPEN TO ALL,2018-05-03T08:07:52Z,,CLW,1525334700,1,7,3,5
,OPEN TO ALL,2018-05-03T08:12:52Z,,CLW,1525335000,1,12,3,5
,OPEN TO ALL,2018-05-03T08:22:53Z,,CLW,1525335600,1,22,3,5
,OPEN TO ALL,2018-05-03T08:32:53Z,,FSE,1525336200,1,32,3,5
,OPEN TO ALL,2018-05-03T08:37:53Z,,FSE,1525336500,1,37,3,5
,OPEN TO ALL,2018-05-03T08:57:53Z,,CLW,1525337700,1,57,3,5
,OPEN TO ALL,2018-05-03T08:57:53Z,,FSE,1525337700,1,57,3,5
,OPEN TO ALL,2018-05-03T09:07:53Z,,CLW,1525338300,2,7,3,5
,OPEN TO ALL,2018-05-03T09:07:53Z,,FSE,1525338300,2,7,3,5
,OPEN TO ALL,2018-05-03T09:42:52Z,,FSE,1525340400,2,42,3,5
,OPEN TO ALL,2018-05-03T09:47:53Z,,CLW,1525340700,2,47,3,5
,OPEN TO ALL,2018-05-03T09:52:53Z,,FSE,1525341000,2,52,3,5
,OPEN TO ALL,2018-05-03T09:57:53Z,,CLW,1525341300,2,57,3,5
,OPEN TO ALL,2018-05-03T10:02:53Z,,FSE,1525341600,3,2,3,5
,OPEN TO ALL,2018-05-03T10:27:53Z,,FSE,1525343100,3,27,3,5
,OPEN TO ALL,2018-05-03T10:37:53Z,,FSE,1525343700,3,37,3,5
,OPEN TO ALL,2018-05-03T10:37:53Z,,CLW,1525343700,3,37,3,5
,OPEN TO ALL,2018-05-03T10:42:52Z,,FSE,1525344000,3,42,3,5
,OPEN TO ALL,2018-05-03T10:57:53Z,,FSE,1525344900,3,57,3,5
,OPEN TO ALL,2018-05-03T11:02:52Z,,CLW,1525345200,4,2,3,5
,OPEN TO ALL,2018-05-03T11:17:53Z,,CLW,1525346100,4,17,3,5
,OPEN TO ALL,2018-05-03T11:22:52Z,,FSE,1525346400,4,22,3,5
,OPEN TO ALL,2018-05-03T11:37:53Z,,CLW,1525347300,4,37,3,5
0.30,HOV 2+ NO TOLL,2018-05-03T12:22:53Z,EL Speed,CLW,1525350000,5,22,3,5
0.30,HOV 2+ NO TOLL,2018-05-03T12:57:53Z,EL Speed,FSE,1525352100,5,57,3,5
1.50,HOV 2+ NO TOLL,2018-05-03T13:12:53Z,EL Speed,CLW,1525353000,6,12,3,5
0.50,HOV 2+ NO TOLL,2018-05-03T13:12:53Z,EL Speed,FSE,1525353000,6,12,3,5
0.50,HOV 2+ NO TOLL,2018-05-03T13:37:53Z,EL Speed,FSE,1525354500,6,37,3,5
0.50,HOV 2+ NO TOLL,2018-05-03T14:07:53Z,EL Speed,FSE,1525356300,7,7,3,5
3.40,HOV 2+ NO TOLL,2018-05-03T14:12:52Z,EL Speed,CLW,1525356600,7,12,3,5
0.50,HOV 2+ NO TOLL,2018-05-03T14:12:52Z,EL Speed,FSE,1525356600,7,12,3,5
0.50,HOV 2+ NO TOLL,2018-05-03T14:17:53Z,EL Speed,FSE,1525356900,7,17,3,5
2.90,HOV 2+ NO TOLL,2018-05-02T01:52:53Z,EL Speed,FSE,1525225800,18,52,1,3
,OPEN TO ALL,2018-05-02T02:17:54Z,,CLW,1525227300,19,17,1,3
,OPEN TO ALL,2018-05-02T02:27:53Z,,FSE,1525227900,19,27,1,3
,OPEN TO ALL,2018-05-02T02:37:53Z,,CLW,1525228500,19,37,1,3
,OPEN TO ALL,2018-05-02T02:37:53Z,,FSE,1525228500,19,37,1,3
,OPEN TO ALL,2018-05-02T02:42:53Z,,CLW,1525228800,19,42,1,3
,OPEN TO ALL,2018-05-02T03:02:53Z,,CLW,1525230000,20,2,1,3
,OPEN TO ALL,2018-05-02T03:22:53Z,,FSE,1525231200,20,22,1,3
,OPEN TO ALL,2018-05-02T03:27:53Z,,FSE,1525231500,20,27,1,3
,OPEN TO ALL,2018-05-02T03:32:53Z,,CLW,1525231800,20,32,1,3
,OPEN TO ALL,2018-05-02T03:37:52Z,,CLW,1525232100,20,37,1,3
,OPEN TO ALL,2018-05-02T03:37:52Z,,FSE,1525232100,20,37,1,3
,OPEN TO ALL,2018-05-02T03:47:52Z,,CLW,1525232700,20,47,1,3
,OPEN TO ALL,2018-05-02T03:57:52Z,,CLW,1525233300,20,57,1,3
,OPEN TO ALL,2018-05-02T04:02:53Z,,FSE,1525233600,21,2,1,3
,OPEN TO ALL,2018-05-02T04:02:53Z,,CLW,1525233600,21,2,1,3
,OPEN TO ALL,2018-05-02T04:17:52Z,,CLW,1525234500,21,17,1,3
,OPEN TO ALL,2018-05-02T04:37:53Z,,FSE,1525235700,21,37,1,3
,OPEN TO ALL,2018-05-02T05:07:53Z,,CLW,1525237500,22,7,1,3
,OPEN TO ALL,2018-05-02T05:22:53Z,,CLW,1525238400,22,22,1,3
,OPEN TO ALL,2018-05-02T05:22:53Z,,FSE,1525238400,22,22,1,3
,OPEN TO ALL,2018-05-02T05:27:53Z,,FSE,1525238700,22,27,1,3
,OPEN TO ALL,2018-05-02T05:32:53Z,,FSE,1525239000,22,32,1,3
,OPEN TO ALL,2018-05-02T05:42:52Z,,CLW,1525239600,22,42,1,3
,OPEN TO ALL,2018-05-02T06:12:53Z,,CLW,1525241400,23,12,1,3
,OPEN TO ALL,2018-05-02T06:22:53Z,,CLW,1525242000,23,22,1,3
,OPEN TO ALL,2018-05-02T07:07:53Z,,CLW,1525244700,0,7,2,4
,OPEN TO ALL,2018-05-02T07:32:52Z,,CLW,1525246200,0,32,2,4
,OPEN TO ALL,2018-05-02T07:37:53Z,,CLW,1525246500,0,37,2,4
,OPEN TO ALL,2018-05-02T07:42:53Z,,CLW,1525246800,0,42,2,4
,OPEN TO ALL,2018-05-02T07:57:53Z,,FSE,1525247700,0,57,2,4
,OPEN TO ALL,2018-05-02T08:27:53Z,,CLW,1525249500,1,27,2,4
,OPEN TO ALL,2018-05-02T08:32:53Z,,FSE,1525249800,1,32,2,4
,OPEN TO ALL,2018-05-02T08:47:53Z,,FSE,1525250700,1,47,2,4
,OPEN TO ALL,2018-05-02T08:57:53Z,,CLW,1525251300,1,57,2,4
,OPEN TO ALL,2018-05-02T09:02:52Z,,CLW,1525251600,2,2,2,4
,OPEN TO ALL,2018-05-02T09:22:52Z,,FSE,1525252800,2,22,2,4
