joinid,apn
ALAM0003889,NULL
ALAM0003890,NULL
ALAM0003891,NULL
ALAM0003892,NULL
ALAM0003893,NULL
ALAM0003894,NULL
ALAM0003895,NULL
ALAM0003896,NULL
ALAM0003897,NULL
ALAM0003898,NULL
ALAM0003899,NULL
ALAM0003900,NULL
ALAM0003901,NULL
ALAM0003902,NULL
ALAM0003903,NULL
ALAM0003904,NULL
ALAM0003905,NULL
ALAM0003906,NULL
ALAM0003907,NULL
ALAM0003908,NULL
ALAM0003909,NULL
ALAM0003910,NULL
ALAM0003911,NULL
ALAM0003912,NULL
ALAM0003913,NULL
ALAM0003914,NULL
ALAM0003915,NULL
ALAM0003916,NULL
ALAM0003917,NULL
ALAM0003918,NULL
ALAM0003919,NULL
ALAM0003920,NULL
ALAM0003921,NULL
ALAM0003922,NULL
ALAM0003923,NULL
ALAM0003924,NULL
ALAM0003925,NULL
ALAM0003926,NULL
ALAM0003927,NULL
ALAM0003928,NULL
ALAM0003929,NULL
ALAM0003930,NULL
ALAM0003931,NULL
ALAM0003932,NULL
ALAM0003933,NULL
ALAM0003934,NULL
ALAM0003935,NULL
ALAM0003936,NULL
ALAM0003937,NULL
ALAM0003938,NULL
ALAM0003939,NULL
ALAM0003940,NULL
ALAM0003941,NULL
ALAM0003942,NULL
ALAM0003943,NULL
ALAM0003944,NULL
ALAM0003945,NULL
ALAM0003946,NULL
ALAM0003947,NULL
ALAM0003948,NULL
ALAM0003949,NULL
ALAM0003950,NULL
ALAM0003951,NULL
ALAM0003952,NULL
ALAM0003953,NULL
ALAM0003954,NULL
ALAM0003955,NULL
ALAM0003956,NULL
ALAM0003957,NULL
ALAM0003958,NULL
ALAM0003959,NULL
ALAM0003960,NULL
ALAM0003961,NULL
ALAM0003962,NULL
ALAM0003963,NULL
ALAM0003964,NULL
ALAM0003965,NULL
ALAM0003966,NULL
ALAM0003967,NULL
ALAM0003968,NULL
ALAM0003972,037A31661400
ALAM0003973,037A31661400
ALAM0003974,037A31661400
ALAM0003975,000O031001200
ALAM0003976,000O031001200
ALAM0003978,000O031001200
ALAM0003979,000O031001200
ALAM0003998,NULL
ALAM0003999,NULL
ALAM0004000,NULL
ALAM0004001,NULL
ALAM0004002,NULL
ALAM0004003,NULL
ALAM0004004,NULL
ALAM0004005,NULL
ALAM0004006,NULL
ALAM0004007,NULL
ALAM0004008,NULL
ALAM0004009,NULL
ALAM0004010,NULL
ALAM0004011,NULL
ALAM0004012,NULL
ALAM0004013,NULL
ALAM0004014,NULL
ALAM0004015,NULL
ALAM0004016,NULL
ALAM0004017,NULL
ALAM0004018,NULL
ALAM0004019,NULL
ALAM0004020,NULL
ALAM0004021,NULL
ALAM0004022,NULL
ALAM0004023,NULL
ALAM0004024,NULL
ALAM0004025,NULL
ALAM0004026,NULL
ALAM0004027,NULL
ALAM0004028,NULL
ALAM0004029,NULL
ALAM0004030,NULL
ALAM0004031,NULL
ALAM0004032,NULL
ALAM0004033,NULL
ALAM0004034,NULL
ALAM0004035,NULL
ALAM0004036,NULL
ALAM0004037,NULL
ALAM0004038,NULL
ALAM0004039,NULL
ALAM0004040,NULL
ALAM0004041,NULL
ALAM0004042,NULL
ALAM0004043,NULL
ALAM0004044,NULL
ALAM0004045,NULL
ALAM0004046,NULL
ALAM0004047,NULL
ALAM0004048,NULL
ALAM0004049,NULL
ALAM0004050,NULL
ALAM0004051,NULL
ALAM0004052,NULL
ALAM0004053,NULL
ALAM0004054,NULL
ALAM0004055,NULL
ALAM0004056,NULL
ALAM0004057,NULL
ALAM0004058,NULL
ALAM0004059,NULL
ALAM0004060,NULL
ALAM0004061,NULL
ALAM0004062,NULL
ALAM0004063,NULL
ALAM0004064,NULL
ALAM0004065,NULL
ALAM0004066,NULL
ALAM0004067,NULL
ALAM0004068,NULL
ALAM0004069,NULL
ALAM0004070,NULL
ALAM0004071,NULL
ALAM0004072,NULL
ALAM0004073,NULL
ALAM0004074,NULL
ALAM0004075,NULL
ALAM0004076,NULL
ALAM0004077,NULL
ALAM0004078,NULL
ALAM0004079,NULL
ALAM0004080,NULL
ALAM0004081,NULL
ALAM0004082,NULL
ALAM0004083,NULL
ALAM0004084,NULL
ALAM0004085,NULL
ALAM0004086,NULL
ALAM0004087,NULL
ALAM0004088,NULL
ALAM0004089,NULL
ALAM0004090,NULL
ALAM0004091,NULL
ALAM0004092,NULL
ALAM0004093,NULL
ALAM0004094,NULL
ALAM0004095,NULL
ALAM0004096,NULL
ALAM0004097,NULL
ALAM0004098,NULL
ALAM0004099,NULL
ALAM0004100,NULL
ALAM0004101,NULL
ALAM0004102,NULL
ALAM0004103,NULL
ALAM0004104,NULL
ALAM0004105,NULL
ALAM0004106,NULL
ALAM0004107,NULL
ALAM0004108,NULL
ALAM0004109,NULL
ALAM0004110,NULL
ALAM0004111,NULL
ALAM0004112,NULL
ALAM0004113,NULL
ALAM0004114,NULL
ALAM0004115,NULL
ALAM0004116,NULL
ALAM0004117,NULL
ALAM0004118,NULL
ALAM0004119,NULL
ALAM0004120,NULL
ALAM0004121,NULL
ALAM0004122,NULL
ALAM0004123,NULL
ALAM0004124,NULL
ALAM0004125,NULL
ALAM0004126,NULL
ALAM0004127,NULL
ALAM0004128,NULL
ALAM0004129,NULL
ALAM0004130,NULL
ALAM0004131,NULL
ALAM0004132,NULL
ALAM0004133,NULL
ALAM0004134,NULL
ALAM0004135,NULL
ALAM0004136,NULL
ALAM0004137,NULL
ALAM0004138,NULL
ALAM0004139,NULL
ALAM0004140,NULL
ALAM0004141,NULL
ALAM0004142,NULL
ALAM0004143,NULL
ALAM0004144,NULL
ALAM0004145,NULL
ALAM0004146,NULL
ALAM0004147,NULL
ALAM0004148,NULL
ALAM0004149,NULL
ALAM0004150,NULL
ALAM0004151,NULL
ALAM0004152,NULL
ALAM0004153,NULL
ALAM0004154,NULL
ALAM0004155,NULL
ALAM0004156,NULL
ALAM0004157,NULL
ALAM0004158,NULL
ALAM0004159,NULL
ALAM0004160,NULL
ALAM0004161,NULL
ALAM0004162,NULL
ALAM0004163,NULL
ALAM0004164,NULL
ALAM0004165,NULL
ALAM0004166,NULL
ALAM0004167,NULL
ALAM0004168,NULL
ALAM0004169,NULL
ALAM0004170,NULL
ALAM0004171,NULL
ALAM0004172,NULL
ALAM0004173,NULL
ALAM0004174,NULL
ALAM0004236,946 462900100
ALAM0004237,946 462900100
ALAM0004272,NULL
ALAM0004273,79-19-40
ALAM0004274,79A-570-23
ALAM0004276,483-101-135
CONT0003756,NULL
CONT0003757,NULL
CONT0003758,NULL
CONT0003759,NULL
CONT0003760,NULL
CONT0003761,NULL
CONT0003762,NULL
CONT0003763,NULL
CONT0003764,NULL
CONT0003765,NULL
CONT0003766,NULL
CONT0003767,NULL
CONT0003768,NULL
CONT0003769,NULL
CONT0003770,NULL
CONT0003771,NULL
CONT0003772,NULL
CONT0003773,NULL
CONT0003774,NULL
CONT0003775,NULL
CONT0003776,NULL
CONT0003777,NULL
CONT0003778,NULL
CONT0003779,NULL
CONT0003780,NULL
CONT0003781,NULL
CONT0003782,NULL
CONT0003783,NULL
CONT0003784,NULL
CONT0003785,NULL
CONT0003786,NULL
CONT0003787,NULL
CONT0003788,NULL
CONT0003789,NULL
CONT0003790,NULL
CONT0003791,NULL
CONT0003792,NULL
CONT0003793,NULL
CONT0003794,NULL
CONT0003795,NULL
CONT0003796,NULL
CONT0003797,NULL
CONT0003798,NULL
CONT0003799,NULL
CONT0003800,NULL
CONT0003801,NULL
CONT0003802,NULL
CONT0003803,NULL
CONT0003804,NULL
CONT0003805,NULL
CONT0003806,NULL
CONT0003807,NULL
CONT0003808,NULL
CONT0003809,NULL
CONT0003810,NULL
CONT0003811,NULL
CONT0003812,NULL
CONT0003813,NULL
CONT0003814,NULL
CONT0003815,NULL
CONT0003816,NULL
CONT0003817,NULL
CONT0003818,NULL
CONT0003819,NULL
CONT0003820,NULL
CONT0003821,NULL
CONT0003822,NULL
CONT0003823,NULL
CONT0003824,NULL
CONT0003825,NULL
CONT0003826,NULL
CONT0003827,NULL
CONT0003828,NULL
CONT0003829,NULL
CONT0003830,NULL
CONT0003831,NULL
CONT0003832,NULL
CONT0003833,NULL
CONT0003834,NULL
CONT0003835,NULL
CONT0003836,NULL
CONT0003837,NULL
CONT0003838,NULL
CONT0003839,NULL
CONT0003840,NULL
CONT0003841,NULL
CONT0003842,NULL
CONT0003843,NULL
CONT0003844,NULL
CONT0003845,NULL
CONT0003846,NULL
CONT0003847,NULL
CONT0003848,NULL
CONT0003849,NULL
CONT0003850,NULL
CONT0003851,NULL
CONT0003852,NULL
CONT0003853,NULL
CONT0003854,NULL
CONT0003855,NULL
CONT0003856,NULL
CONT0003857,NULL
CONT0003858,NULL
CONT0003859,NULL
CONT0003860,NULL
CONT0003861,NULL
CONT0003862,NULL
CONT0003863,NULL
CONT0003864,NULL
CONT0003865,NULL
CONT0003866,NULL
CONT0003867,NULL
CONT0003868,NULL
CONT0003869,NULL
CONT0003870,NULL
CONT0003871,NULL
CONT0003872,NULL
CONT0003873,NULL
CONT0003874,NULL
CONT0003875,NULL
CONT0003876,NULL
CONT0003877,NULL
CONT0003878,NULL
CONT0003879,NULL
CONT0003880,NULL
CONT0003881,NULL
CONT0003882,NULL
CONT0003883,NULL
CONT0003884,NULL
CONT0003885,NULL
CONT0003886,NULL
CONT0003887,NULL
CONT0003888,NULL
CONT0003889,NULL
CONT0003890,NULL
CONT0003891,NULL
CONT0003892,NULL
CONT0003893,NULL
CONT0003894,NULL
CONT0003895,NULL
CONT0003896,NULL
CONT0003897,NULL
CONT0003898,NULL
CONT0003899,NULL
CONT0003900,NULL
CONT0003901,NULL
CONT0003902,NULL
CONT0003903,NULL
CONT0003904,NULL
CONT0003905,NULL
CONT0003906,NULL
CONT0003907,NULL
CONT0003908,NULL
CONT0003909,NULL
CONT0003910,NULL
CONT0003911,NULL
CONT0003912,NULL
CONT0003913,NULL
CONT0003914,NULL
CONT0003915,NULL
CONT0003916,NULL
CONT0003917,NULL
CONT0003918,NULL
CONT0003919,NULL
CONT0003920,NULL
CONT0003921,NULL
CONT0003922,NULL
CONT0003923,NULL
CONT0003924,NULL
CONT0003925,NULL
CONT0003926,NULL
CONT0003927,NULL
CONT0003928,NULL
CONT0003929,NULL
CONT0003930,NULL
CONT0003931,NULL
CONT0003932,NULL
CONT0003933,NULL
CONT0003934,NULL
CONT0003935,NULL
CONT0003936,NULL
CONT0003937,NULL
CONT0003938,NULL
CONT0003939,NULL
CONT0003940,NULL
CONT0003941,NULL
CONT0003942,NULL
CONT0003943,NULL
CONT0003944,NULL
CONT0003945,NULL
CONT0003946,NULL
CONT0003947,NULL
CONT0003948,NULL
CONT0003949,NULL
CONT0003950,NULL
CONT0003951,NULL
CONT0003952,NULL
CONT0003953,NULL
CONT0003954,NULL
CONT0003955,NULL
CONT0003956,NULL
CONT0003957,NULL
CONT0003958,NULL
CONT0003959,NULL
CONT0003960,NULL
CONT0003961,NULL
CONT0003962,NULL
CONT0003963,NULL
CONT0003964,NULL
CONT0003965,NULL
CONT0003966,NULL
CONT0003967,NULL
CONT0003968,NULL
CONT0003969,NULL
CONT0003970,NULL
CONT0003971,NULL
CONT0003972,NULL
CONT0003973,NULL
CONT0003974,NULL
CONT0003975,NULL
CONT0003976,NULL
CONT0003977,NULL
CONT0003978,NULL
CONT0003979,NULL
CONT0003980,NULL
CONT0003981,NULL
CONT0003982,NULL
CONT0003983,NULL
CONT0003984,NULL
CONT0003985,NULL
CONT0003986,NULL
CONT0003987,NULL
CONT0003988,NULL
CONT0003989,NULL
CONT0003990,NULL
CONT0003991,NULL
CONT0003992,NULL
CONT0003993,NULL
CONT0003994,NULL
CONT0003995,NULL
CONT0003996,NULL
CONT0003997,NULL
CONT0003998,NULL
CONT0003999,NULL
CONT0004000,NULL
CONT0004001,NULL
CONT0004002,NULL
CONT0004003,NULL
CONT0004004,NULL
CONT0004005,NULL
CONT0004006,NULL
CONT0004007,NULL
CONT0004008,NULL
CONT0004009,NULL
CONT0004010,NULL
CONT0004011,NULL
CONT0004012,NULL
CONT0004013,NULL
CONT0004014,NULL
CONT0004015,NULL
CONT0004016,NULL
CONT0004017,NULL
CONT0004018,NULL
CONT0004019,NULL
CONT0004020,NULL
CONT0004021,NULL
CONT0004022,NULL
CONT0004023,NULL
CONT0004024,NULL
CONT0004025,NULL
CONT0004026,NULL
CONT0004027,NULL
CONT0004028,NULL
CONT0004029,NULL
CONT0004030,NULL
CONT0004031,NULL
CONT0004032,NULL
CONT0004033,NULL
CONT0004034,NULL
CONT0004035,NULL
CONT0004036,NULL
CONT0004037,NULL
CONT0004038,NULL
CONT0004039,NULL
CONT0004040,NULL
CONT0004041,NULL
CONT0004042,NULL
CONT0004043,NULL
CONT0004044,NULL
CONT0004045,NULL
CONT0004046,NULL
CONT0004047,NULL
CONT0004048,NULL
CONT0004049,NULL
CONT0004050,NULL
CONT0004051,NULL
CONT0004052,NULL
CONT0004053,NULL
CONT0004054,NULL
CONT0004055,NULL
CONT0004056,NULL
CONT0004057,NULL
CONT0004058,NULL
CONT0004059,NULL
CONT0004060,NULL
CONT0004061,NULL
CONT0004062,NULL
CONT0004063,NULL
CONT0004064,NULL
CONT0004065,NULL
CONT0004066,NULL
CONT0004067,NULL
CONT0004068,NULL
CONT0004069,NULL
CONT0004070,NULL
CONT0004071,NULL
CONT0004072,NULL
CONT0004073,NULL
CONT0004074,NULL
CONT0004075,NULL
CONT0004076,NULL
CONT0004077,NULL
CONT0004078,NULL
CONT0004079,NULL
CONT0004080,NULL
CONT0004081,NULL
CONT0004082,NULL
CONT0004083,NULL
CONT0004084,NULL
CONT0004085,NULL
CONT0004086,NULL
CONT0004087,NULL
CONT0004088,NULL
CONT0004089,NULL
CONT0004090,NULL
CONT0004091,NULL
CONT0004092,NULL
CONT0004093,NULL
CONT0004094,NULL
CONT0004095,NULL
CONT0004096,NULL
CONT0004097,NULL
CONT0004098,NULL
CONT0004099,NULL
CONT0004100,NULL
CONT0004101,NULL
CONT0004102,NULL
CONT0004103,NULL
CONT0004104,NULL
CONT0004105,NULL
CONT0004106,NULL
CONT0004107,NULL
CONT0004108,NULL
CONT0004109,NULL
CONT0004110,NULL
CONT0004111,NULL
CONT0004112,NULL
CONT0004113,NULL
CONT0004114,NULL
CONT0004115,NULL
CONT0004116,NULL
CONT0004117,NULL
CONT0004118,NULL
CONT0004119,NULL
CONT0004120,NULL
CONT0004121,NULL
CONT0004122,NULL
CONT0004123,NULL
CONT0004124,NULL
CONT0004125,NULL
CONT0004126,NULL
CONT0004127,NULL
CONT0004128,NULL
CONT0004129,NULL
CONT0004130,NULL
CONT0004131,NULL
CONT0004132,NULL
CONT0004133,NULL
CONT0004134,NULL
CONT0004135,NULL
CONT0004136,NULL
CONT0004137,NULL
CONT0004138,NULL
CONT0004139,NULL
CONT0004140,NULL
CONT0004141,NULL
CONT0004142,NULL
CONT0004143,NULL
CONT0004144,NULL
CONT0004145,NULL
CONT0004146,NULL
CONT0004147,NULL
CONT0004148,NULL
CONT0004149,NULL
CONT0004150,NULL
CONT0004151,NULL
CONT0004152,NULL
CONT0004153,NULL
CONT0004154,NULL
CONT0004155,NULL
CONT0004156,NULL
CONT0004157,NULL
CONT0004158,NULL
CONT0004159,NULL
CONT0004160,NULL
CONT0004161,NULL
CONT0004162,NULL
CONT0004163,NULL
CONT0004164,NULL
CONT0004165,NULL
CONT0004166,NULL
CONT0004167,NULL
CONT0004168,NULL
CONT0004169,NULL
CONT0004170,NULL
CONT0004171,NULL
CONT0004172,NULL
CONT0004173,NULL
CONT0004174,NULL
CONT0004175,NULL
CONT0004176,NULL
CONT0004177,NULL
CONT0004178,NULL
CONT0004179,NULL
CONT0004180,NULL
CONT0004181,NULL
CONT0004182,NULL
CONT0004183,NULL
CONT0004184,NULL
CONT0004185,NULL
CONT0004186,NULL
CONT0004187,NULL
CONT0004188,NULL
CONT0004189,NULL
CONT0004190,NULL
CONT0004191,NULL
CONT0004192,NULL
CONT0004193,NULL
CONT0004194,NULL
CONT0004195,NULL
CONT0004196,NULL
CONT0004197,NULL
CONT0004198,NULL
CONT0004199,NULL
CONT0004200,NULL
CONT0004201,NULL
CONT0004202,NULL
CONT0004203,NULL
CONT0004204,NULL
CONT0004205,NULL
CONT0004206,NULL
CONT0004207,NULL
CONT0004208,NULL
CONT0004209,NULL
CONT0004210,NULL
CONT0004211,NULL
CONT0004212,NULL
CONT0004213,NULL
CONT0004214,NULL
CONT0004215,NULL
CONT0004216,NULL
CONT0004217,NULL
CONT0004218,NULL
CONT0004219,NULL
CONT0004220,NULL
CONT0004221,NULL
CONT0004222,NULL
CONT0004223,NULL
CONT0004224,NULL
CONT0004225,NULL
CONT0004226,NULL
CONT0004227,NULL
CONT0004228,NULL
CONT0004229,NULL
CONT0004230,NULL
CONT0004231,NULL
CONT0004232,NULL
CONT0004233,NULL
CONT0004234,NULL
CONT0004235,NULL
CONT0004236,NULL
CONT0004237,NULL
CONT0004238,NULL
CONT0004239,NULL
CONT0004240,NULL
CONT0004241,NULL
CONT0004242,NULL
CONT0004243,NULL
CONT0004244,NULL
CONT0004245,NULL
CONT0004246,NULL
CONT0004247,NULL
CONT0004248,NULL
CONT0004249,NULL
CONT0004250,NULL
CONT0004251,NULL
CONT0004252,NULL
CONT0004253,NULL
CONT0004254,NULL
CONT0004255,NULL
CONT0004256,NULL
CONT0004257,NULL
CONT0004258,NULL
CONT0004259,NULL
CONT0004260,NULL
CONT0004261,NULL
CONT0004262,NULL
CONT0004263,NULL
CONT0004264,NULL
CONT0004265,NULL
CONT0004266,NULL
CONT0004486,NULL
CONT0004487,NULL
CONT0004488,NULL
CONT0004489,NULL
CONT0004490,NULL
CONT0004491,NULL
CONT0004492,NULL
CONT0004493,NULL
CONT0004494,NULL
CONT0004495,NULL
CONT0004496,NULL
CONT0004497,NULL
CONT0004498,NULL
CONT0004499,NULL
CONT0004500,NULL
CONT0004501,NULL
CONT0004502,NULL
CONT0004503,NULL
CONT0004504,NULL
CONT0004505,NULL
CONT0004506,NULL
CONT0004507,NULL
CONT0004508,NULL
CONT0004509,NULL
CONT0004510,NULL
CONT0004511,NULL
CONT0004512,NULL
CONT0004513,NULL
CONT0004514,NULL
CONT0004515,NULL
CONT0004516,NULL
CONT0004517,NULL
CONT0004518,NULL
CONT0004519,NULL
CONT0004520,NULL
CONT0004521,NULL
CONT0004522,NULL
CONT0004523,NULL
CONT0004525,NULL
CONT0004526,NULL
CONT0004544,NULL
CONT0004571,037-570-002
CONT0004572,037-570-003
CONT0004573,037-570-004
CONT0004574,037-570-021
CONT0004575,037-570-022
CONT0004576,037-570-023
CONT0004599,035-151-009
CONT0004604,037-560-091
CONT0004605,037-580-062
CONT0004606,037-560-093
CONT0004607,037-560-094
CONT0004608,037-560-095
CONT0004609,037-560-092
CONT0004610,037-560-096
CONT0004611,037-580-064
CONT0004612,037-580-065
CONT0004613,037-580-063
CONT0004654,037-580-066
CONT0004655,037-580-067
CONT0004656,037-580-068
CONT0004657,037-580-069
CONT0004658,037-580-070
CONT0004659,037-580-086
CONT0004660,037-580-087
CONT0004661,037-580-088
CONT0004662,037-580-089
CONT0004663,037-580-090
CONT0004664,037-570-005
CONT0004665,037-570-007
CONT0004666,037-570-008
CONT0004667,037-570-019
CONT0004668,037-570-020
CONT0004669,037-570-006
CONT0004678,037-580-071
CONT0004679,037-580-072
CONT0004680,037-580-073
CONT0004681,037-580-074
CONT0004682,037-580-075
CONT0004683,037-580-081
CONT0004684,037-580-082
CONT0004685,037-580-083
CONT0004686,037-580-084
CONT0004687,037-580-085
CONT0004703,037-570-009
CONT0004704,037-570-010
CONT0004705,037-570-016
CONT0004706,037-570-017
CONT0004707,037-570-018
CONT0004724,037-580-041
CONT0004725,037-580-042
CONT0004726,037-580-043
CONT0004727,037-580-044
CONT0004728,037-580-045
CONT0004729,037-580-076
CONT0004730,037-580-077
CONT0004731,037-580-078
CONT0004732,037-580-079
CONT0004733,037-580-080
CONT0004734,037-570-011
CONT0004735,037-570-012
CONT0004736,037-570-013
CONT0004737,037-570-014
CONT0004738,037-570-015
CONT0004763,037-570-038
CONT0004764,037-570-039
CONT0004765,037-570-040
CONT0004766,037-570-041
CONT0004767,037-570-042
CONT0004768,037-580-036
CONT0004769,037-580-037
CONT0004770,037-580-038
CONT0004771,037-580-039
CONT0004772,037-580-040
CONT0004773,037-580-046
CONT0004774,037-580-047
CONT0004775,037-580-048
CONT0004776,037-580-049
CONT0004777,037-580-050
CONT0004778,037-580-031
CONT0004779,037-580-032
CONT0004780,037-580-033
CONT0004781,037-580-034
CONT0004782,037-580-035
CONT0004783,037-580-051
CONT0004784,037-580-052
CONT0004785,037-580-053
CONT0004786,037-580-054
CONT0004787,037-580-055
CONT0004788,037-580-027
CONT0004789,037-580-028
CONT0004790,037-580-029
CONT0004791,037-580-030
CONT0004792,037-580-056
CONT0004793,037-580-057
CONT0004794,037-580-058
CONT0004795,037-580-059
CONT0004796,037-580-060
CONT0004797,037-580-061
CONT0004801,037-720-024
CONT0004802,037-720-025
CONT0004803,037-720-026
CONT0004804,037-720-027
CONT0004848,NULL
CONT0004850,273081015
CONT0004881,270330005
CONT0004884,270320017
CONT0004898,NULL
CONT0004899,NULL
CONT0004900,NULL
CONT0004901,NULL
CONT0004902,NULL
CONT0004903,NULL
CONT0004904,NULL
CONT0004905,NULL
CONT0004906,NULL
CONT0004907,NULL
CONT0004908,NULL
CONT0004909,NULL
CONT0004910,NULL
CONT0004911,NULL
CONT0004912,NULL
CONT0004913,NULL
CONT0004914,NULL
CONT0004915,NULL
CONT0004916,NULL
CONT0004917,NULL
CONT0004918,NULL
CONT0004919,NULL
CONT0004920,NULL
CONT0004921,NULL
CONT0004922,NULL
CONT0004923,NULL
CONT0004924,NULL
CONT0004925,NULL
CONT0004926,NULL
CONT0004927,NULL
CONT0004928,NULL
CONT0004929,NULL
CONT0004930,NULL
CONT0004931,NULL
CONT0004932,NULL
CONT0004933,NULL
CONT0004934,NULL
CONT0004935,NULL
CONT0004936,NULL
CONT0004937,NULL
CONT0004938,NULL
CONT0004939,NULL
CONT0004940,NULL
CONT0004941,NULL
CONT0004942,NULL
CONT0004943,NULL
CONT0004944,NULL
CONT0004945,NULL
CONT0004946,NULL
CONT0004947,NULL
CONT0004948,NULL
CONT0004949,NULL
CONT0004950,NULL
CONT0004951,NULL
CONT0004952,NULL
CONT0004953,NULL
CONT0004954,NULL
CONT0004955,NULL
CONT0004956,NULL
CONT0004957,NULL
CONT0004958,NULL
CONT0004959,NULL
CONT0004960,NULL
CONT0004961,NULL
CONT0004962,NULL
CONT0004963,NULL
CONT0004964,NULL
CONT0004965,NULL
CONT0004966,NULL
CONT0004967,NULL
CONT0004968,NULL
CONT0004969,NULL
CONT0004970,NULL
CONT0004971,NULL
CONT0004972,NULL
CONT0004973,NULL
CONT0004974,NULL
CONT0004975,NULL
CONT0004976,NULL
CONT0004977,NULL
CONT0004978,NULL
CONT0004979,NULL
CONT0004980,NULL
CONT0004981,NULL
CONT0004982,NULL
CONT0004983,NULL
CONT0004984,NULL
CONT0004985,NULL
CONT0004986,NULL
CONT0004987,NULL
CONT0004988,NULL
CONT0004989,NULL
CONT0004990,NULL
CONT0004991,NULL
CONT0004992,NULL
CONT0004993,NULL
CONT0004994,NULL
CONT0004995,NULL
CONT0004996,NULL
CONT0004997,NULL
CONT0004998,NULL
CONT0004999,NULL
CONT0005000,NULL
CONT0005001,NULL
CONT0005002,NULL
CONT0005003,NULL
CONT0005004,NULL
CONT0005005,NULL
CONT0005006,NULL
CONT0005007,NULL
CONT0005008,NULL
CONT0005009,NULL
CONT0005010,NULL
CONT0005011,NULL
CONT0005012,NULL
CONT0005013,NULL
CONT0005014,NULL
CONT0005015,NULL
CONT0005016,NULL
CONT0005017,NULL
CONT0005018,NULL
CONT0005019,NULL
CONT0005020,NULL
CONT0005021,NULL
CONT0005022,NULL
CONT0005023,NULL
CONT0005024,NULL
CONT0005025,NULL
CONT0005026,NULL
CONT0005027,NULL
CONT0005028,NULL
CONT0005029,NULL
CONT0005030,NULL
CONT0005031,NULL
CONT0005032,NULL
CONT0005033,NULL
CONT0005034,NULL
CONT0005035,NULL
CONT0005036,NULL
CONT0005037,NULL
CONT0005038,NULL
CONT0005039,NULL
CONT0005040,NULL
CONT0005041,NULL
CONT0005042,NULL
CONT0005043,NULL
CONT0005044,NULL
CONT0005045,NULL
CONT0005046,NULL
CONT0005047,NULL
CONT0005048,NULL
CONT0005049,NULL
CONT0005050,NULL
CONT0005051,NULL
CONT0005052,NULL
CONT0005053,NULL
CONT0005054,NULL
CONT0005055,NULL
CONT0005056,NULL
CONT0005057,NULL
CONT0005058,NULL
CONT0005059,NULL
CONT0005060,NULL
CONT0005061,NULL
CONT0005062,NULL
CONT0005063,NULL
CONT0005064,NULL
CONT0005065,NULL
CONT0005066,NULL
CONT0005067,NULL
CONT0005068,NULL
CONT0005069,NULL
CONT0005070,NULL
CONT0005071,NULL
CONT0005072,NULL
CONT0005073,NULL
CONT0005074,NULL
CONT0005075,NULL
CONT0005076,NULL
CONT0005077,NULL
CONT0005078,NULL
CONT0005079,NULL
CONT0005080,NULL
CONT0005081,NULL
CONT0005082,NULL
CONT0005083,NULL
CONT0005084,NULL
CONT0005085,NULL
CONT0005086,NULL
CONT0005087,NULL
CONT0005088,NULL
CONT0005089,NULL
CONT0005090,NULL
CONT0005091,NULL
CONT0005092,NULL
CONT0005093,NULL
CONT0005094,NULL
CONT0005095,NULL
CONT0005096,NULL
CONT0005097,NULL
CONT0005098,NULL
CONT0005125,410-024-005
CONT0005211,222670007
CONT0005214,222670007
CONT0005216,222670007
CONT0005219,222670007
CONT0005220,222670007
CONT0005223,222670007
CONT0005225,222670007
CONT0005226,222670007
CONT0005227,222670007
CONT0005305,222270050
CONT0005306,222270050
CONT0005307,222270050
CONT0005308,222270050
CONT0005309,222270050
CONT0005310,222270050
CONT0005311,222270050
CONT0005314,222670007
CONT0005315,222670007
CONT0005316,222670007
CONT0005317,222670007
CONT0005318,222670007
CONT0005319,222670007
CONT0005320,222670007
CONT0005321,222670007
CONT0005322,222670007
CONT0005323,222670007
CONT0005324,222670007
CONT0005326,222670007
CONT0005327,222670007
CONT0005328,222670007
CONT0005329,222670007
CONT0005330,222670007
CONT0005332,222670007
CONT0005333,222670007
CONT0005334,222670007
CONT0005335,222670007
CONT0005336,222670007
CONT0005337,222670007
CONT0005338,222670007
CONT0005339,222670007
CONT0005340,222670007
CONT0005341,222670007
CONT0005342,222670007
CONT0005343,222670007
CONT0005344,222670007
CONT0005345,222670007
CONT0005346,222670007
CONT0005347,222670007
CONT0005361,222670007
CONT0005362,222670007
CONT0005363,222670007
CONT0005364,222670007
CONT0005365,222670007
CONT0005367,222670007
CONT0005368,222670007
CONT0005369,222670007
CONT0005370,222670007
CONT0005371,222670007
CONT0005373,222670007
CONT0005374,222670007
CONT0005375,222670007
CONT0005376,222670007
CONT0005377,222670007
CONT0005378,222670007
CONT0005379,222670007
CONT0005380,222670007
CONT0005381,222670007
CONT0005384,222670007
CONT0005385,222670007
CONT0005387,222670007
CONT0005388,222670007
CONT0005389,222670007
CONT0005439,NULL
CONT0005440,NULL
CONT0005441,NULL
CONT0005442,NULL
CONT0005443,NULL
CONT0005444,NULL
CONT0005445,NULL
CONT0005446,NULL
CONT0005447,NULL
CONT0005448,NULL
CONT0005449,NULL
CONT0005450,NULL
CONT0005451,NULL
CONT0005452,NULL
CONT0005453,NULL
CONT0005454,NULL
CONT0005455,NULL
CONT0005456,NULL
CONT0005457,NULL
CONT0005458,NULL
CONT0005459,NULL
CONT0005460,NULL
CONT0005461,NULL
CONT0005462,NULL
